Average RMSE of model for positive_total: 671.0372247401925, epochs: 1000, batch_size: 50, data from 2020-04-01\
Average RMSE of model for positive_total: 242.2766551460419, epochs: 1000, batch_size: 50, all data\
Average RMSE of model for positive_per_day: 145.13776114310494, epochs: 10, batch_size: 1, data from 2020-04-01\
Average RMSE of model for positive_per_day: 91.09724806998597, epochs: 10, batch_size: 1, all data\
Average RMSE of model for positive_per_day: 132.47177447346664, epochs: 10, batch_size: 5, data from 2020-04-01\
Average RMSE of model for positive_per_day: 80.68852706211374, epochs: 10, batch_size: 5, all data\
Average RMSE of model for positive_per_day: 139.5477156652231, epochs: 10, batch_size: 10, data from 2020-04-01\
Average RMSE of model for positive_per_day: 76.84004154989903, epochs: 10, batch_size: 10, all data\
Average RMSE of model for positive_per_day: 153.45587433847572, epochs: 10, batch_size: 15, data from 2020-04-01\
Average RMSE of model for positive_per_day: 68.05650220985913, epochs: 10, batch_size: 15, all data\
Average RMSE of model for positive_per_day: 132.15807155482486, epochs: 10, batch_size: 30, data from 2020-04-01\
Average RMSE of model for positive_per_day: 63.91633315551524, epochs: 10, batch_size: 30, all data\
Average RMSE of model for positive_per_day: 121.59285675350543, epochs: 10, batch_size: 50, data from 2020-04-01\
Average RMSE of model for positive_per_day: 94.84956998907407, epochs: 10, batch_size: 50, all data\
Average RMSE of model for positive_per_day: 137.3903323212851, epochs: 50, batch_size: 1, data from 2020-04-01\
Average RMSE of model for positive_per_day: 103.30301602929198, epochs: 50, batch_size: 1, all data\
Average RMSE of model for positive_per_day: 156.466096986577, epochs: 50, batch_size: 5, data from 2020-04-01\
Average RMSE of model for positive_per_day: 97.81537757531632, epochs: 50, batch_size: 5, all data\
Average RMSE of model for positive_per_day: 165.4979521132963, epochs: 50, batch_size: 10, data from 2020-04-01\
Average RMSE of model for positive_per_day: 90.94568513456754, epochs: 50, batch_size: 10, all data\
Average RMSE of model for positive_per_day: 174.18514225566, epochs: 50, batch_size: 15, data from 2020-04-01\
Average RMSE of model for positive_per_day: 83.6509618576121, epochs: 50, batch_size: 15, all data\
Average RMSE of model for positive_per_day: 146.39237352517983, epochs: 50, batch_size: 30, data from 2020-04-01\
Average RMSE of model for positive_per_day: 72.37551291649935, epochs: 50, batch_size: 30, all data\
Average RMSE of model for positive_per_day: 142.94763248922098, epochs: 50, batch_size: 50, data from 2020-04-01\
Average RMSE of model for positive_per_day: 85.31874712391965, epochs: 50, batch_size: 50, all data\
Average RMSE of model for positive_per_day: 181.4176691386702, epochs: 100, batch_size: 1, data from 2020-04-01\
Average RMSE of model for positive_per_day: 80.82080811047558, epochs: 100, batch_size: 1, all data\
Average RMSE of model for positive_per_day: 170.80530805427685, epochs: 100, batch_size: 5, data from 2020-04-01\
Average RMSE of model for positive_per_day: 91.24430926626916, epochs: 100, batch_size: 5, all data\
Average RMSE of model for positive_per_day: 153.14050944571193, epochs: 100, batch_size: 10, data from 2020-04-01\
Average RMSE of model for positive_per_day: 100.04183390957711, epochs: 100, batch_size: 10, all data\
Average RMSE of model for positive_per_day: 173.90291601052465, epochs: 100, batch_size: 15, data from 2020-04-01\
Average RMSE of model for positive_per_day: 93.25141733664229, epochs: 100, batch_size: 15, all data\
